Mod:Item:MetaData, Localized Name
extratrees:fences.fireproof.1:0, Elm Fence (Fireproof)
extratrees:fences.fireproof.1:1, Elder Fence (Fireproof)
extratrees:fences.fireproof.1:2, Holly Fence (Fireproof)
extratrees:fences.fireproof.1:3, Hornbeam Fence (Fireproof)
extratrees:fences.fireproof.1:4, Cedar Fence (Fireproof)
extratrees:fences.fireproof.1:5, Olive Fence (Fireproof)
extratrees:fences.fireproof.1:6, Sweetgum Fence (Fireproof)
extratrees:fences.fireproof.1:7, Locust Fence (Fireproof)
extratrees:fences.fireproof.1:8, Pear Fence (Fireproof)
extratrees:fences.fireproof.1:9, Maclura Fence (Fireproof)
extratrees:fences.fireproof.1:10, Brazilwood Fence (Fireproof)
extratrees:fences.fireproof.1:11, Logwood Fence (Fireproof)
extratrees:fences.fireproof.1:12, Rosewood Fence (Fireproof)
extratrees:fences.fireproof.1:13, Purpleheart Fence (Fireproof)
extratrees:fences.fireproof.1:14, Iroko Fence (Fireproof)
extratrees:fences.fireproof.1:15, Gingko Fence (Fireproof)
extratrees:fences.fireproof.2:0, Eucalyptus Fence (Fireproof)
extratrees:fences.fireproof.2:1, Box Fence (Fireproof)
extratrees:fences.fireproof.2:2, Syzgium Fence (Fireproof)
extratrees:fences.fireproof.2:3, Pink Ivory Fence (Fireproof)
extratrees:fence.gates.fir:0, Fir Fence Gate
extratrees:fence.gates.fireproof.fir:0, Fir Fence Gate (Fireproof)
extratrees:fence.gates.cedar:0, Cedar Fence Gate
extratrees:fence.gates.fireproof.cedar:0, Cedar Fence Gate (Fireproof)
extratrees:fence.gates.hemlock:0, Hemlock Fence Gate
extratrees:fence.gates.fireproof.hemlock:0, Hemlock Fence Gate (Fireproof)
extratrees:fence.gates.cypress:0, Cypress Fence Gate
extratrees:fence.gates.fireproof.cypress:0, Cypress Fence Gate (Fireproof)
extratrees:fence.gates.fig:0, Fig Fence Gate
extratrees:fence.gates.fireproof.fig:0, Fig Fence Gate (Fireproof)
extratrees:fence.gates.beech:0, Beech Fence Gate
extratrees:fence.gates.fireproof.beech:0, Beech Fence Gate (Fireproof)
extratrees:fence.gates.alder:0, Alder Fence Gate
extratrees:fence.gates.fireproof.alder:0, Alder Fence Gate (Fireproof)
extratrees:fence.gates.hazel:0, Hazel Fence Gate
extratrees:fence.gates.fireproof.hazel:0, Hazel Fence Gate (Fireproof)
extratrees:fence.gates.hornbeam:0, Hornbeam Fence Gate
extratrees:fence.gates.fireproof.hornbeam:0, Hornbeam Fence Gate (Fireproof)
extratrees:fence.gates.box:0, Box Fence Gate
extratrees:fence.gates.fireproof.box:0, Box Fence Gate (Fireproof)
extratrees:fence.gates.butternut:0, Butternut Fence Gate
extratrees:fence.gates.fireproof.butternut:0, Butternut Fence Gate (Fireproof)
extratrees:fence.gates.hickory:0, Hickory Fence Gate
extratrees:fence.gates.fireproof.hickory:0, Hickory Fence Gate (Fireproof)
extratrees:fence.gates.whitebeam:0, Whitebeam Fence Gate
extratrees:fence.gates.fireproof.whitebeam:0, Whitebeam Fence Gate (Fireproof)
extratrees:fence.gates.elm:0, Elm Fence Gate
extratrees:fence.gates.fireproof.elm:0, Elm Fence Gate (Fireproof)
extratrees:fence.gates.apple:0, Apple Fence Gate
extratrees:fence.gates.fireproof.apple:0, Apple Fence Gate (Fireproof)
extratrees:fence.gates.yew:0, Yew Fence Gate
extratrees:fence.gates.fireproof.yew:0, Yew Fence Gate (Fireproof)
extratrees:fence.gates.pear:0, Pear Fence Gate
extratrees:fence.gates.fireproof.pear:0, Pear Fence Gate (Fireproof)
extratrees:fence.gates.hawthorn:0, Hawthorn Fence Gate
extratrees:fence.gates.fireproof.hawthorn:0, Hawthorn Fence Gate (Fireproof)
extratrees:fence.gates.rowan:0, Rowan Fence Gate
extratrees:fence.gates.fireproof.rowan:0, Rowan Fence Gate (Fireproof)
extratrees:fence.gates.elder:0, Elder Fence Gate
extratrees:fence.gates.fireproof.elder:0, Elder Fence Gate (Fireproof)
extratrees:fence.gates.maclura:0, Maclura Fence Gate
extratrees:fence.gates.fireproof.maclura:0, Maclura Fence Gate (Fireproof)
extratrees:fence.gates.syzgium:0, Syzgium Fence Gate
extratrees:fence.gates.fireproof.syzgium:0, Syzgium Fence Gate (Fireproof)
extratrees:fence.gates.brazilwood:0, Brazilwood Fence Gate
extratrees:fence.gates.fireproof.brazilwood:0, Brazilwood Fence Gate (Fireproof)
extratrees:fence.gates.logwood:0, Logwood Fence Gate
extratrees:fence.gates.fireproof.logwood:0, Logwood Fence Gate (Fireproof)
extratrees:fence.gates.iroko:0, Iroko Fence Gate
extratrees:fence.gates.fireproof.iroko:0, Iroko Fence Gate (Fireproof)
extratrees:fence.gates.locust:0, Locust Fence Gate
extratrees:fence.gates.fireproof.locust:0, Locust Fence Gate (Fireproof)
extratrees:fence.gates.eucalyptus:0, Eucalyptus Fence Gate
extratrees:fence.gates.fireproof.eucalyptus:0, Eucalyptus Fence Gate (Fireproof)
extratrees:fence.gates.purpleheart:0, Purpleheart Fence Gate
extratrees:fence.gates.fireproof.purpleheart:0, Purpleheart Fence Gate (Fireproof)
extratrees:fence.gates.ash:0, Ash Fence Gate
extratrees:fence.gates.fireproof.ash:0, Ash Fence Gate (Fireproof)
extratrees:fence.gates.holly:0, Holly Fence Gate
extratrees:fence.gates.fireproof.holly:0, Holly Fence Gate (Fireproof)
extratrees:fence.gates.olive:0, Olive Fence Gate
extratrees:fence.gates.fireproof.olive:0, Olive Fence Gate (Fireproof)
extratrees:fence.gates.sweetgum:0, Sweetgum Fence Gate
extratrees:fence.gates.fireproof.sweetgum:0, Sweetgum Fence Gate (Fireproof)
extratrees:fence.gates.rosewood:0, Rosewood Fence Gate
extratrees:fence.gates.fireproof.rosewood:0, Rosewood Fence Gate (Fireproof)
extratrees:fence.gates.gingko:0, Gingko Fence Gate
extratrees:fence.gates.fireproof.gingko:0, Gingko Fence Gate (Fireproof)
extratrees:fence.gates.pinkivory:0, Pink Ivory Fence Gate
extratrees:fence.gates.fireproof.pinkivory:0, Pink Ivory Fence Gate (Fireproof)
extratrees:fence.gates.banana:0, Banana Fence Gate
extratrees:fence.gates.fireproof.banana:0, Banana Fence Gate (Fireproof)
extratrees:doors.apple:0, Apple Door
extratrees:doors.fig:0, Fig Door
extratrees:doors.butternut:0, Butternut Door
extratrees:doors.whitebeam:0, Whitebeam Door
extratrees:doors.rowan:0, Rowan Door
extratrees:doors.hemlock:0, Hemlock Door
extratrees:doors.ash:0, Ash Door
extratrees:doors.alder:0, Alder Door
extratrees:doors.beech:0, Beech Door
extratrees:doors.hawthorn:0, Hawthorn Door
extratrees:doors.banana:0, Banana Door
extratrees:doors.yew:0, Yew Door
extratrees:doors.cypress:0, Cypress Door
extratrees:doors.fir:0, Fir Door
extratrees:doors.hazel:0, Hazel Door
extratrees:doors.hickory:0, Hickory Door
extratrees:doors.elm:0, Elm Door
extratrees:doors.elder:0, Elder Door
extratrees:doors.holly:0, Holly Door
extratrees:doors.hornbeam:0, Hornbeam Door
extratrees:doors.cedar:0, Cedar Door
extratrees:doors.olive:0, Olive Door
extratrees:doors.sweetgum:0, Sweetgum Door
extratrees:doors.locust:0, Locust Door
extratrees:doors.pear:0, Pear Door
extratrees:doors.maclura:0, Maclura Door
extratrees:doors.brazilwood:0, Brazilwood Door
extratrees:doors.logwood:0, Logwood Door
extratrees:doors.rosewood:0, Rosewood Door
extratrees:doors.purpleheart:0, Purpleheart Door
extratrees:doors.iroko:0, Iroko Door
extratrees:doors.gingko:0, Gingko Door
extratrees:doors.eucalyptus:0, Eucalyptus Door
extratrees:doors.box:0, Box Door
extratrees:doors.syzgium:0, Syzgium Door
extratrees:doors.pinkivory:0, Pink Ivory Door
extratrees:multifence, tile.null.name
extratrees:leaves.decorative.0:0, Leaves
extratrees:leaves.decorative.0:1, Leaves
extratrees:leaves.decorative.0:2, Leaves
extratrees:leaves.decorative.0:3, Leaves
extratrees:leaves.decorative.0:4, Leaves
extratrees:leaves.decorative.0:5, Leaves
extratrees:leaves.decorative.0:6, Leaves
extratrees:leaves.decorative.0:7, Leaves
extratrees:leaves.decorative.0:8, Leaves
extratrees:leaves.decorative.0:9, Leaves
extratrees:leaves.decorative.0:10, Leaves
extratrees:leaves.decorative.0:11, Leaves
extratrees:leaves.decorative.0:12, Leaves
extratrees:leaves.decorative.0:13, Leaves
extratrees:leaves.decorative.0:14, Leaves
extratrees:leaves.decorative.0:15, Leaves
extratrees:leaves.decorative.1:0, Leaves
extratrees:leaves.decorative.1:1, Leaves
extratrees:leaves.decorative.1:2, Leaves
extratrees:leaves.decorative.1:3, Leaves
extratrees:leaves.decorative.1:4, Leaves
extratrees:leaves.decorative.1:5, Leaves
extratrees:leaves.decorative.1:6, Leaves
extratrees:leaves.decorative.1:7, Leaves
extratrees:leaves.decorative.1:8, Leaves
extratrees:leaves.decorative.1:9, Leaves
extratrees:leaves.decorative.1:10, Leaves
extratrees:leaves.decorative.1:11, Leaves
extratrees:leaves.decorative.1:12, Leaves
extratrees:leaves.decorative.1:13, Leaves
extratrees:leaves.decorative.1:14, Leaves
extratrees:leaves.decorative.1:15, Leaves
extratrees:leaves.decorative.2:0, Leaves
extratrees:leaves.decorative.2:1, Leaves
extratrees:leaves.decorative.2:2, Leaves
extratrees:leaves.decorative.2:3, Leaves
extratrees:leaves.decorative.2:4, Leaves
extratrees:leaves.decorative.2:5, Leaves
extratrees:leaves.decorative.2:6, Leaves
extratrees:leaves.decorative.2:7, Leaves
extratrees:leaves.decorative.2:8, Leaves
extratrees:leaves.decorative.2:9, Leaves
extratrees:leaves.decorative.2:10, Leaves
extratrees:leaves.decorative.2:11, Leaves
extratrees:leaves.decorative.2:12, Leaves
extratrees:leaves.decorative.2:13, Leaves
extratrees:leaves.decorative.2:14, Leaves
extratrees:leaves.decorative.2:15, Leaves
extratrees:leaves.decorative.3:0, Leaves
extratrees:leaves.decorative.3:1, Leaves
extratrees:leaves.decorative.3:2, Leaves
extratrees:leaves.decorative.3:3, Leaves
extratrees:leaves.decorative.3:4, Leaves
extratrees:leaves.decorative.3:5, Leaves
extratrees:leaves.decorative.3:6, Leaves
extratrees:leaves.decorative.3:7, Leaves
extratrees:leaves.decorative.3:8, Leaves
extratrees:leaves.decorative.3:9, Leaves
extratrees:leaves.decorative.3:10, Leaves
extratrees:leaves.decorative.3:11, Leaves
extratrees:leaves.decorative.3:12, Leaves
extratrees:leaves.decorative.3:13, Leaves
extratrees:leaves.decorative.3:14, Leaves
extratrees:leaves.decorative.3:15, Leaves
extratrees:leaves.decorative.4:0, Leaves
extratrees:leaves.decorative.4:1, Leaves
extratrees:leaves.decorative.4:2, Leaves
extratrees:leaves.decorative.4:3, Leaves
extratrees:leaves.decorative.4:4, Leaves
extratrees:leaves.decorative.4:5, Leaves
extratrees:leaves.decorative.4:6, Leaves
extratrees:leaves.decorative.4:7, Leaves
extratrees:leaves.decorative.4:8, Leaves
extratrees:leaves.decorative.4:9, Leaves
extratrees:leaves.decorative.4:10, Leaves
extratrees:leaves.decorative.4:11, Leaves
extratrees:leaves.decorative.4:12, Leaves
extratrees:leaves.decorative.4:13, Leaves
extratrees:leaves.decorative.4:14, Leaves
extratrees:leaves.decorative.4:15, Leaves
extratrees:leaves.decorative.5:0, Leaves
extratrees:leaves.decorative.5:1, Leaves
extratrees:leaves.decorative.5:2, Leaves
extratrees:leaves.decorative.5:3, Leaves
extratrees:leaves.decorative.5:4, Leaves
extratrees:leaves.decorative.5:5, Leaves
extratrees:leaves.decorative.5:6, Leaves
extratrees:leaves.decorative.5:7, Leaves
extratrees:leaves.decorative.5:8, Leaves
extratrees:leaves.decorative.5:9, Leaves
extratrees:leaves.decorative.5:10, Leaves
extratrees:leaves.decorative.5:11, Leaves
extratrees:leaves.decorative.5:12, Leaves
extratrees:leaves.decorative.5:13, Leaves
extratrees:leaves.decorative.5:14, Leaves
extratrees:leaves.decorative.5:15, Leaves
extratrees:leaves.decorative.6:0, Leaves
extratrees:shrub_log:0, Shrub Wood
extratrees:machine:0, Lumbermill
extratrees:machine:1, Woodworker
extratrees:machine:2, Panelworker
extratrees:machine:4, Fruit Press
extratrees:machine:5, Brewery
extratrees:machine:6, Distillery
extratrees:machine:7, Glassworker
extratrees:carpentry, tile.null.name
extratrees:carpentrypanel, tile.null.name
extratrees:stainedglass, tile.null.name
extratrees:databaselepi, item.databaseLepi.name
extratrees:binnie.juice.apple, Apple Juice
extratrees:binnie.juice.apricot, Apricot Juice
extratrees:binnie.juice.banana, Banana Juice
extratrees:binnie.juice.cherry, Cherry Juice
extratrees:binnie.juice.elderberry, Elderberry Juice
extratrees:binnie.juice.lemon, Lemon Juice
extratrees:binnie.juice.lime, Lime Juice
extratrees:binnie.juice.orange, Orange Juice
extratrees:binnie.juice.peach, Peach Juice
extratrees:binnie.juice.plum, Plum Juice
extratrees:binnie.juice.carrot, Carrot Juice
extratrees:binnie.juice.tomato, Tomato Juice
extratrees:binnie.juice.cranberry, Cranberry Juice
extratrees:binnie.juice.grapefruit, Grapefruit Juice
extratrees:binnie.juice.olive, Olive Oil
extratrees:binnie.juice.pineapple, Pineapple Juice
extratrees:binnie.juice.pear, Pear Juice
extratrees:binnie.juice.white.grape, White Grape Juice
extratrees:binnie.juice.red.grape, Red Grape Juice
extratrees:binnie.cider.apple, Cider
extratrees:binnie.wine.apricot, Apricot Wine
extratrees:binnie.wine.banana, Banana Wine
extratrees:binnie.wine.cherry, Cherry Wine
extratrees:binnie.wine.elderberry, Elderberry Wine
extratrees:binnie.cider.peach, Peach Cider
extratrees:binnie.ciderpear, Pear Cider
extratrees:binnie.wine.plum, Plum Wine
extratrees:binnie.wine.carrot, Carrot Wine
extratrees:binnie.wine.white, White Wine
extratrees:binnie.wine.red, Red Wine
extratrees:binnie.wine.sparkling, Sparkling Wine
extratrees:binnie.wine.agave, Agave Wine
extratrees:binnie.fermented.potatoes, Fermented Potatoes
extratrees:binnie.wine.citrus, Citrus Wine
extratrees:binnie.wine.cranberry, Cranberry Wine
extratrees:binnie.wine.pineapple, Pineapple Wine
extratrees:binnie.wine.tomato, Tomato Wine
extratrees:binnie.juice, Fruit Wine
extratrees:binnie.beer.ale, Ale
extratrees:binnie.beer.lager, Lager
extratrees:binnie.beer.wheat, Wheat Beer
extratrees:binnie.beer.rye, Rye Beer
extratrees:binnie.beer.corn, Corn Beer
extratrees:binnie.beer.stout, Stout
extratrees:binnie.mash.grain, Fermented Grain Mash
extratrees:binnie.mash.wheat, Fermented Wheat Mash
extratrees:binnie.mash.rye, Fermented Rye Mash
extratrees:binnie.mash.corn, Fermented Corn Mash
extratrees:binnie.spirit.neutral, Neutral Spirit
extratrees:binnie.vodka, Vodka
extratrees:binnie.rum.white, White Rum
extratrees:binnie.rum.dark, Dark Rum
extratrees:binnie.whiskey, Whiskey
extratrees:binnie.whiskey.corn, Bourbon
extratrees:binnie.whiskey.rye, Rye Whiskey
extratrees:binnie.whiskey.wheat, Wheat Whiskey
extratrees:binnie.wine.fortified, Fortified Wine
extratrees:binnie.tequila, Tequila
extratrees:binnie.brandy.grape, Brandy
extratrees:binnie.brandy.apple, Apple Brandy
extratrees:binnie.brandy.pear, Pear Brandy
extratrees:binnie.brandy.apricot, Apricot Brandy
extratrees:binnie.brandy.plum, Plum Brandy
extratrees:binnie.brandy.cherry, Cherry Brandy
extratrees:binnie.brandy.elderberry, Elderberry Brandy
extratrees:binnie.brandy.citrus, Citrus Brandy
extratrees:binnie.brandy.fruit, Fruit Brandy
extratrees:binnie.spirit.sugarcane, Cachaca
extratrees:binnie.spirit.gin, Gin
extratrees:binnie.liquor.apple, Apple Liquor
extratrees:binnie.liquor.pear, Pear Liquor
extratrees:binnie.liquor.cherry, Cherry Liquor
extratrees:binnie.liquor.elderberry, Elderberry Liquor
extratrees:binnie.liquor.apricot, Apricot Liquor
extratrees:binnie.liquor.fruit, Fruit Liquor
extratrees:binnie.liqueur.almond, Almond Liqueur
extratrees:binnie.liqueur.orange, Orange Liqueur
extratrees:binnie.liqueur.banana, Banana Liqueur
extratrees:binnie.liqueur.chocolate, Chocolate Liqueur
extratrees:binnie.liqueur.mint, Mint Liqueur
extratrees:binnie.liqueur.hazelnut, Hazelnut Liqueur
extratrees:binnie.liqueur.cinnamon, Cinnamon Liqueur
extratrees:binnie.liqueur.coffee, Coffee Liqueur
extratrees:binnie.liqueur.melon, Melon Liqueur
extratrees:binnie.liqueur.anise, Anise Liqueur
extratrees:binnie.liqueur.peach, Peach Liqueur
extratrees:binnie.liqueur.lemon, Lemon Liqueur
extratrees:binnie.liqueur.herbal, Herbal Liqueur
extratrees:binnie.liqueur.cherry, Cherry Liqueur
extratrees:binnie.liqueur.blackcurrant, Blackcurrant Liqueur
extratrees:binnie.liqueur.blackberry, Blackberry Liqueur
extratrees:binnie.liqueur.raspberry, Raspberry Liqueur
thermalfoundation:ore:0, Copper Ore
thermalfoundation:ore:1, Tin Ore
thermalfoundation:ore:2, Silver Ore
thermalfoundation:ore:3, Lead Ore
thermalfoundation:ore:4, Aluminum Ore
thermalfoundation:ore:5, Nickel Ore
thermalfoundation:ore:6, Platinum Ore
thermalfoundation:ore:7, Iridium Ore
thermalfoundation:ore:8, Mana Infused Ore
thermalfoundation:ore_fluid:0, Oil Sand
thermalfoundation:ore_fluid:1, Oil Shale
thermalfoundation:ore_fluid:2, Destabilized Redstone Ore
thermalfoundation:ore_fluid:3, Energized Netherrack
thermalfoundation:ore_fluid:4, Resonant End Stone
thermalfoundation:ore_fluid:5, Oil Sand
thermalfoundation:storage:0, Block of Copper
thermalfoundation:storage:1, Block of Tin
thermalfoundation:storage:2, Block of Silver
thermalfoundation:storage:3, Block of Lead
thermalfoundation:storage:4, Block of Aluminum
thermalfoundation:storage:5, Block of Nickel
thermalfoundation:storage:6, Block of Platinum
thermalfoundation:storage:7, Block of Iridium
thermalfoundation:storage:8, Block of Mana Infused Metal
thermalfoundation:storage_alloy:0, Block of Steel
thermalfoundation:storage_alloy:1, Block of Electrum
thermalfoundation:storage_alloy:2, Block of Invar
thermalfoundation:storage_alloy:3, Block of Bronze
thermalfoundation:storage_alloy:4, Block of Constantan
thermalfoundation:storage_alloy:5, Block of Signalum
thermalfoundation:storage_alloy:6, Block of Lumium
thermalfoundation:storage_alloy:7, Block of Enderium
thermalfoundation:storage_resource:0, Block of Charcoal
thermalfoundation:storage_resource:1, Block of Coal Coke
thermalfoundation:glass:0, Hardened Copper Glass
thermalfoundation:glass:1, Hardened Tin Glass
thermalfoundation:glass:2, Hardened Silver Glass
thermalfoundation:glass:3, Hardened Glass
thermalfoundation:glass:4, Hardened Aluminum Glass
thermalfoundation:glass:5, Hardened Nickel Glass
thermalfoundation:glass:6, Hardened Platinum Glass
thermalfoundation:glass:7, Hardened Iridium Glass
thermalfoundation:glass:8, Hardened Mana Infused Glass
thermalfoundation:glass_alloy:0, Hardened Steel Glass
thermalfoundation:glass_alloy:1, Hardened Electrum Glass
thermalfoundation:glass_alloy:2, Hardened Invar Glass
thermalfoundation:glass_alloy:3, Hardened Bronze Glass
thermalfoundation:glass_alloy:4, Hardened Constantan Glass
thermalfoundation:glass_alloy:5, Hardened Signalum Glass
thermalfoundation:glass_alloy:6, Hardened Lumium Glass
thermalfoundation:glass_alloy:7, Hardened Enderium Glass
thermalfoundation:rockwool:0, Black Rockwool
thermalfoundation:rockwool:1, Red Rockwool
thermalfoundation:rockwool:2, Green Rockwool
thermalfoundation:rockwool:3, Brown Rockwool
thermalfoundation:rockwool:4, Blue Rockwool
thermalfoundation:rockwool:5, Purple Rockwool
thermalfoundation:rockwool:6, Cyan Rockwool
thermalfoundation:rockwool:7, Light Gray Rockwool
thermalfoundation:rockwool:8, Gray Rockwool
thermalfoundation:rockwool:9, Pink Rockwool
thermalfoundation:rockwool:10, Lime Rockwool
thermalfoundation:rockwool:11, Yellow Rockwool
thermalfoundation:rockwool:12, Light Blue Rockwool
thermalfoundation:rockwool:13, Magenta Rockwool
thermalfoundation:rockwool:14, Orange Rockwool
thermalfoundation:rockwool:15, White Rockwool
thermalfoundation:wrench:0, Crescent Hammer
thermalfoundation:meter:0, Multimeter
thermalfoundation:upgrade:0, Hardened Upgrade Kit
thermalfoundation:upgrade:1, Reinforced Upgrade Kit
thermalfoundation:upgrade:2, Signalum Upgrade Kit
thermalfoundation:upgrade:3, Resonant Upgrade Kit
thermalfoundation:upgrade:33, Reinforced Conversion Kit
thermalfoundation:upgrade:34, Signalum Conversion Kit
thermalfoundation:upgrade:35, Resonant Conversion Kit
thermalfoundation:upgrade:256, Creative Conversion Kit
thermalfoundation:security:0, Signalum Security Lock
thermalfoundation:diagram_redprint, Redprint
thermalfoundation:tome_lexicon, Forge Lexicon
thermalfoundation:tome_experience, Tome of Knowledge
thermalfoundation:coin:0, Iron Coin
thermalfoundation:coin:1, Gold Coin
thermalfoundation:coin:64, Copper Coin
thermalfoundation:coin:65, Tin Coin
thermalfoundation:coin:66, Silver Coin
thermalfoundation:coin:67, Lead Coin
thermalfoundation:coin:68, Aluminum Coin
thermalfoundation:coin:69, Nickel Coin
thermalfoundation:coin:70, Platinum Coin
thermalfoundation:coin:71, Iridium Coin
thermalfoundation:coin:72, Mana Infused Coin
thermalfoundation:coin:96, Steel Coin
thermalfoundation:coin:97, Electrum Coin
thermalfoundation:coin:98, Invar Coin
thermalfoundation:coin:99, Bronze Coin
thermalfoundation:coin:100, Constantan Coin
thermalfoundation:coin:101, Signalum Coin
thermalfoundation:coin:102, Lumium Coin
thermalfoundation:coin:103, Enderium Coin
thermalfoundation:fertilizer:0, Phyto-Gro
thermalfoundation:fertilizer:1, Rich Phyto-Gro
thermalfoundation:fertilizer:2, Fluxed Phyto-Gro
thermalfoundation:bait:0, Aqua-Chow
thermalfoundation:bait:1, Rich Aqua-Chow
thermalfoundation:bait:2, Fluxed Aqua-Chow
thermalfoundation:dye:0, Black Pigment
thermalfoundation:dye:1, Red Pigment
thermalfoundation:dye:2, Green Pigment
thermalfoundation:dye:3, Brown Pigment
thermalfoundation:dye:4, Blue Pigment
thermalfoundation:dye:5, Purple Pigment
thermalfoundation:dye:6, Cyan Pigment
thermalfoundation:dye:7, Light Gray Pigment
thermalfoundation:dye:8, Gray Pigment
thermalfoundation:dye:9, Pink Pigment
thermalfoundation:dye:10, Lime Pigment
thermalfoundation:dye:11, Yellow Pigment
thermalfoundation:dye:12, Light Blue Pigment
thermalfoundation:dye:13, Magenta Pigment
thermalfoundation:dye:14, Orange Pigment
thermalfoundation:dye:15, White Pigment
thermalfoundation:material:0, Pulverized Iron
thermalfoundation:material:1, Pulverized Gold
thermalfoundation:material:16, Diamond Nugget
thermalfoundation:material:17, Emerald Nugget
thermalfoundation:material:22, Wooden Gear
thermalfoundation:material:23, Stone Gear
thermalfoundation:material:24, Iron Gear
thermalfoundation:material:25, Gold Gear
thermalfoundation:material:26, Diamond Gear
thermalfoundation:material:27, Emerald Gear
thermalfoundation:material:32, Iron Plate
thermalfoundation:material:33, Gold Plate
thermalfoundation:material:64, Pulverized Copper
thermalfoundation:material:65, Pulverized Tin
thermalfoundation:material:66, Pulverized Silver
thermalfoundation:material:67, Pulverized Lead
thermalfoundation:material:68, Pulverized Aluminum
thermalfoundation:material:69, Pulverized Nickel
thermalfoundation:material:70, Pulverized Platinum
thermalfoundation:material:71, Pulverized Iridium
thermalfoundation:material:72, Pulverized Mana Infused Metal
thermalfoundation:material:96, Steel Blend
thermalfoundation:material:97, Electrum Blend
thermalfoundation:material:98, Invar Blend
thermalfoundation:material:99, Bronze Blend
thermalfoundation:material:100, Constantan Blend
thermalfoundation:material:101, Signalum Blend
thermalfoundation:material:102, Lumium Blend
thermalfoundation:material:103, Enderium Blend
thermalfoundation:material:128, Copper Ingot
thermalfoundation:material:129, Tin Ingot
thermalfoundation:material:130, Silver Ingot
thermalfoundation:material:131, Lead Ingot
thermalfoundation:material:132, Aluminum Ingot
thermalfoundation:material:133, Nickel Ingot
thermalfoundation:material:134, Platinum Ingot
thermalfoundation:material:135, Iridium Ingot
thermalfoundation:material:136, Mana Infused Ingot
thermalfoundation:material:160, Steel Ingot
thermalfoundation:material:161, Electrum Ingot
thermalfoundation:material:162, Invar Ingot
thermalfoundation:material:163, Bronze Ingot
thermalfoundation:material:164, Constantan Ingot
thermalfoundation:material:165, Signalum Ingot
thermalfoundation:material:166, Lumium Ingot
thermalfoundation:material:167, Enderium Ingot
thermalfoundation:material:192, Copper Nugget
thermalfoundation:material:193, Tin Nugget
thermalfoundation:material:194, Silver Nugget
thermalfoundation:material:195, Lead Nugget
thermalfoundation:material:196, Aluminum Nugget
thermalfoundation:material:197, Nickel Nugget
thermalfoundation:material:198, Platinum Nugget
thermalfoundation:material:199, Iridium Nugget
thermalfoundation:material:200, Mana Infused Nugget
thermalfoundation:material:224, Steel Nugget
thermalfoundation:material:225, Electrum Nugget
thermalfoundation:material:226, Invar Nugget
thermalfoundation:material:227, Bronze Nugget
thermalfoundation:material:228, Constantan Nugget
thermalfoundation:material:229, Signalum Nugget
thermalfoundation:material:230, Lumium Nugget
thermalfoundation:material:231, Enderium Nugget
thermalfoundation:material:256, Copper Gear
thermalfoundation:material:257, Tin Gear
thermalfoundation:material:258, Silver Gear
thermalfoundation:material:259, Lead Gear
thermalfoundation:material:260, Aluminum Gear
thermalfoundation:material:261, Nickel Gear
thermalfoundation:material:262, Platinum Gear
thermalfoundation:material:263, Iridium Gear
thermalfoundation:material:264, Mana Infused Gear
thermalfoundation:material:288, Steel Gear
thermalfoundation:material:289, Electrum Gear
thermalfoundation:material:290, Invar Gear
thermalfoundation:material:291, Bronze Gear
thermalfoundation:material:292, Constantan Gear
thermalfoundation:material:293, Signalum Gear
thermalfoundation:material:294, Lumium Gear
thermalfoundation:material:295, Enderium Gear
thermalfoundation:material:320, Copper Plate
thermalfoundation:material:321, Tin Plate
thermalfoundation:material:322, Silver Plate
thermalfoundation:material:323, Lead Plate
thermalfoundation:material:324, Aluminum Plate
thermalfoundation:material:325, Nickel Plate
thermalfoundation:material:326, Platinum Plate
thermalfoundation:material:327, Iridium Plate
thermalfoundation:material:328, Mana Infused Plate
thermalfoundation:material:352, Steel Plate
thermalfoundation:material:353, Electrum Plate
thermalfoundation:material:354, Invar Plate
thermalfoundation:material:355, Bronze Plate
thermalfoundation:material:356, Constantan Plate
thermalfoundation:material:357, Signalum Plate
thermalfoundation:material:358, Lumium Plate
thermalfoundation:material:359, Enderium Plate
thermalfoundation:material:512, Redstone Servo
thermalfoundation:material:513, Redstone Reception Coil
thermalfoundation:material:514, Redstone Transmission Coil
thermalfoundation:material:515, Redstone Conductance Coil
thermalfoundation:material:640, Tool Casing
thermalfoundation:material:656, Drill Head
thermalfoundation:material:657, Saw Blade
thermalfoundation:material:768, Pulverized Coal
thermalfoundation:material:769, Pulverized Charcoal
thermalfoundation:material:770, Pulverized Obsidian
thermalfoundation:material:771, Sulfur
thermalfoundation:material:772, Niter
thermalfoundation:material:800, Sawdust
thermalfoundation:material:801, Compressed Sawdust
thermalfoundation:material:802, Coal Coke
thermalfoundation:material:816, Pulped Biomass
thermalfoundation:material:817, Rich Biomass
thermalfoundation:material:818, Pulped Bioblend
thermalfoundation:material:819, Rich Bioblend
thermalfoundation:material:832, Rosin
thermalfoundation:material:833, Tar
thermalfoundation:material:864, Slag
thermalfoundation:material:865, Rich Slag
thermalfoundation:material:866, Cinnabar
thermalfoundation:material:892, Bitumen
thermalfoundation:material:893, Destabilized Clathrate
thermalfoundation:material:894, Energized Clathrate
thermalfoundation:material:895, Resonant Clathrate
thermalfoundation:material:1024, Pyrotheum Dust
thermalfoundation:material:1025, Cryotheum Dust
thermalfoundation:material:1026, Aerotheum Dust
